"year";"length";"budget";"rating";"votes"
"Scary Movie 3";2003;84;45000000;5.3;9225
"Johnny Suede";1991;97;500000;5.8;594
"Around the World in 80 Days";2004;120;110000000;5.7;3887
"Sins of Jezebel";1953;74;100000;5;9
"Ordinary People";1980;124;6000000;7.9;6785
"Drop Squad";1994;86;2000000;3.9;150
"Taegukgi hwinalrimyeo";2004;140;12800000;8.5;1792
"Lake Placid";1999;82;27000000;5.2;7836
"Patrullero, El";1991;105;1500000;6.9;117
"Saga of the Viking Women and Their Voyage to the Waters of the Great Sea Serpent, The";1957;66;65000;2.5;144
"Meteor";1979;107;16000000;4.5;1116
"Super Troopers";2001;100;3000000;6.3;7728
"Pobeg";2005;117;1800000;2.6;18
"Eraser";1996;115;100000000;5.8;14641
"Veronica Guerin";2003;92;17000000;6.8;2688
"Megiddo: The Omega Code 2";2001;104;22000000;3.8;729
"Lady of the Lake";1998;82;60000;3.9;46
"Parasite";1982;85;800000;3.2;228
"I Am a Fugitive from a Chain Gang";1932;93;195845;8.1;1198
"Dinner at Eight";1933;113;435000;7.6;1031
"Tunnel Vision";1976;95;250000;4.8;166
"Stryker's War";1985;84;100000;5.1;146
"Skullduggery";1970;105;4500000;4;69
"Cutaway";2000;104;9000000;5.1;390
"Johnny English";2003;87;35000000;5.6;8125
"Sindrome di Stendhal, La";1996;113;3800000;5.8;972
"Top Gun";1986;110;15000000;6.5;32410
"Eyes Wide Shut";1999;159;65000000;7;37868
"Starsky & Hutch";2004;101;60000000;6.3;13529
"O Brother, Where Art Thou?";2000;106;26000000;7.8;37961
"My Life's in Turnaround";1993;84;22000;3.9;196
"Black Room, The";1984;87;250000;4.5;33
"Batman Returns";1992;126;80000000;6.5;23010
"Moby Dick";1956;115;4500000;7.3;1887
"Alice's Adventures in Wonderland";1972;95;2500000;5.6;165
"Frisco Jenny";1932;71;286000;6.6;36
"Walk in the Clouds, A";1995;102;20000000;6.2;4085
"Chair, The";1989;100;3000000;3.8;40
"Terminal USA";1993;54;365000;6.9;37
"Darkness Minus Twelve";2004;12;4400;8.9;8
"Ever After";1998;121;26000000;7;10250
"Multiplicity";1996;117;45000000;5.7;5241
"Held Up";1999;89;8000000;4.6;555
"Miss Congeniality";2000;109;45000000;6.2;16235
"Lost Weekend, The";1945;101;1250000;8.1;2661
"Satyricon";1969;129;3000000;6.5;1879
"Hand Behind the Mouse: The Ub Iwerks Story, The";1999;90;600000;6.4;24
"Laws of Attraction";2004;90;28000000;5.7;2349
"Deer Hunter, The";1978;183;15000000;8.1;28210
"Honorable, The";2002;88;50000;6.8;30
"Halloween 5";1989;96;5000000;4.2;2597
"Suzy";1936;93;614000;6.2;146
"Fall of the Roman Empire, The";1964;184;19000000;6.4;996
"Mo' Better Blues";1990;130;10000000;6.1;1408
"Greatest Show on Earth, The";1952;152;4000000;6.7;1361
"Bill & Ted's Bogus Journey";1991;93;20000000;5.6;8152
"Telling Lies in America";1997;101;4000000;6.4;646
"Coltelli del vendicatore, I";1966;86;75000;4.7;38
"Cinderella Story, A";2004;95;20000000;4.9;2755
"Boogeyman";2005;89;20000000;4.1;2055
"Motel Hell";1980;102;3000000;5.2;791
"Susan Lenox (Her Fall and Rise)";1931;76;580000;6.2;118
"She Freak";1967;83;65000;3.5;74
"Babes in Arms";1939;93;748000;6.5;239
"Collateral";2004;120;65000000;7.7;24499
"V.I.P.s, The";1963;120;4000000;6.2;366
"Batman";1989;126;35000000;7.4;35927
"Short Cut to Nirvana: Kumbh Mela";2004;85;200000;8.6;31
"Shanghai Noon";2000;110;55000000;6.7;12258
"Spy Game";2001;126;92000000;7;16736
"She's So Lovely";1997;100;18000000;5.7;2280
"Trois 3: The Escort";2004;95;1000000;4.8;38
"Summer Holiday";1948;93;2258325;5.7;59
"Preventive Warriors";2004;56;50000;9;12
"Joe's Apartment";1996;80;13000000;5;2169
"Wash, The";2001;93;4000000;3.7;902
"Dinosaur";2000;82;127500000;6.3;5839
"Sands of Iwo Jima";1949;109;1000000;7;1353
"Leggenda del pianista sull'oceano, La";1998;120;9000000;7.6;3599
"Freeway";1996;102;3000000;6.5;4961
"Wedding March, The";1928;113;1000000;8.5;134
"Deep End of the Ocean, The";1999;106;40000000;5.9;2890
"Frailty";2001;100;11000000;7.4;10551
"Young Guns";1988;102;13000000;6.4;8104
"Diamonds Are Forever";1971;120;7200000;6.6;8738
"Book of Life, The";1998;63;350000;6.7;551
"Mark of Cain";1985;90;1000000;4.1;12
"Little Giant, The";1933;76;197000;6.8;63
"Straight Story, The";1999;112;10000000;8.1;14679
"Perfect Woman, The";1993;8;8000;7.8;8
"Brainstorm";1983;106;15000000;6.2;1956
"Police Academy";1984;96;4500000;5.7;8268
"Invasion of the Body Snatchers";1956;80;417000;7.8;5286
"Forced March";1989;104;2700000;4;16
"In Cold Blood";1967;129;3500000;8;2406
"Bad Company";2002;116;70000000;5.4;6175
"Contact";1997;153;90000000;7.3;36390
"Bill of Divorcement, A";1932;70;300000;6.5;183
"Wild Angels, The";1966;93;360000;4.7;212
"American Bickman Burger, The";2001;18;100000;5.7;13
"Graveyard Shift";1990;89;10500000;3.8;1074
"Rules, The";2004;29;20000;8.9;9
"Babel";1999;95;20000000;4.5;53
"Crow: City of Angels, The";1996;84;13000000;3.8;3656
"Hearts of Fire";1987;95;17000000;3.3;107
"Kimberly";1999;106;2000000;5.3;231
"Great White Hope, The";1970;103;6000000;6.9;369
"Godfather: Part III, The";1990;169;54000000;7.3;22385
"Along for the Ride";2000;99;150000;7.6;15
"Girl Wrestler";2003;56;230000;8;8
"Superman";1941;10;100000;7.5;148
"Star Trek IV: The Voyage Home";1986;136;25000000;7.1;11647
"Eskimo";1933;117;950000;7;30
"Cabiria";1914;162;210000;7.6;216
"Automation";2004;26;41000;6.1;13
"Gretchen & the Night Danger";2004;26;4000;7.5;11
"Mommie Dearest";1981;129;5000000;6.2;1696
"Shakespeare in Love";1998;122;25000000;7.5;41999
"Curse of the Puppet Master";1998;77;250000;2.7;267
"Jakob the Liar";1999;120;15000000;5.9;2544
"Tracks";2002;92;1000000;5;5
"Mix";2004;97;1000000;5.9;96
"Conspiracy Theory";1997;135;75000000;6.4;15470
"Artie Shaw: Time Is All You've Got";1985;114;250000;7.9;18
"Jerry and Tom";1998;106;5000000;6.7;447
"Chasing Jason";2004;7;2000;7;9
"Seven Year Itch, The";1955;105;3200000;7.2;3211
"Conversation, The";1974;113;1600000;8.1;10260
"Tower of Evil";1972;85;400000;4.3;111
"Wild Gals of the Naked West";1962;65;26000;2.7;74
"Psych-Out";1968;101;100000;5.5;286
"Half Past Dead";2002;98;30000000;3.9;2099
"Emperor Waltz, The";1948;110;4070248;6.1;151
"True Romance";1993;121;12500000;7.7;25896
"Bring Me the Head of Alfredo Garcia";1974;112;1500000;7.1;1163
"High Fidelity";2000;113;20000000;7.6;29704
"Die xue jie tou";1990;126;3500000;7.6;1805
"Dreamaniac";1986;82;60000;4.3;36
"One True Thing";1998;127;30000000;7;2534
"Enemy, The";2003;34;250000;8.2;147
"Learning Curve, The";2001;113;1000000;5.2;177
"Brigham City";2001;119;1000000;7.1;405
"Young Stranger, The";1957;84;350000;6.6;67
"Comunidad, La";2000;110;2000000;7.2;1270
"Home at the End of the World, A";2004;96;6500000;6.5;1693
"Ozone";1993;83;3500;3.3;66
"Gettysburg";1993;259;25000000;7.5;5191
"Specialist, The";1994;110;45000000;4.7;6602
"Wilde";1997;118;10000000;6.9;2545
"Dead Zone, The";1983;103;10000000;7.2;6338
"Rhapsody in Bloom";1998;92;2200000;6.2;104
"Daddy Cool";2002;85;150000;5.7;17
"Ted Bundy";2002;99;1200000;5.2;852
"Friday the 13th Part VIII: Jason Takes Manhattan";1989;100;5000000;3.6;3248
"Dead Heat";1988;86;5000000;4.8;470
"Dom durakov";2002;104;2500000;6.8;382
"Into the Sun";2005;97;16000000;4;481
"Tomorrow Never Dies";1997;119;110000000;6.4;19397
"Miracle Worker, The";1962;106;500000;7.9;2130
"Empty Building, The";2004;40;170000;9.5;11
"Brazil";1985;94;15000000;8;30735
"Roadside Attractions";2004;15;6500;8.2;8
"Drive Me Crazy";1999;91;8000000;5.1;2934
"Grand Prix";1966;179;9000000;6.4;971
"Repo Man";1984;92;1500000;6.8;4954
"Hikikomori: Tokyo Plastic";2004;75;1150000;7;7
"Arrangement";2004;109;3200000;9.2;23
"Last Patrol, The";2000;95;8200000;2.9;236
"Ghosts of Mississippi";1996;130;36000000;6.4;2268
"Divorcee, The";1930;82;340691;6.7;184
"Patton";1970;172;12000000;8.2;14351
"Donnie Darko";2001;133;4500000;8.3;51961
"Incredibles, The";2004;121;92000000;8.3;30749
"Kejar Amerika";2004;86;100000;6.7;19
"North";1994;87;40000000;4.1;2539
"Assassination of Trotsky, The";1972;103;2500000;5;148
"She Gods of Shark Reef";1958;63;50000;2.7;53
"Pol Pot's Birthday";2004;10;9000;8.7;11
"Terminator 2: Judgment Day";1991;154;100000000;8.2;77614
"Bucket of Blood, A";1959;66;25000;6.6;416
"Breakfast at Tiffany's";1961;115;2500000;7.7;12246
"I Still Know What You Did Last Summer";1998;100;24000000;4;9524
"Sgt. Bilko";1996;93;39000000;5.1;3712
"Eegah";1962;90;15000;1.9;1314
"Sjunde inseglet, Det";1957;92;150000;8.4;9622
"One from the Heart";1982;107;26000000;6;759
"What Happened Was...";1994;91;120000;7;386
"Able Edwards";2004;87;30000;6.2;24
"Hey Arnold! The Movie";2002;76;10000000;4.8;425
"Four Dead Batteries";2004;96;77000;8.7;19
"Quest for Camelot";1998;74;40000000;5.4;974
"Air Force One";1997;124;85000000;6.3;26156
"School Daze";1988;121;6500000;5.3;955
"Knack, The";1965;84;364000;6.7;364
"It Came from Hollywood";1982;80;5000000;5.5;240
"Becky Sharp";1935;67;950000;6.2;103
"Egyptian, The";1954;139;5000000;5.7;376
"Sunshine State";2002;141;5600000;7;1481
"Halloween H20: 20 Years Later";1998;85;17000000;5.3;8153
"Metropolis Apocalypse";1988;11;20000;2;7
"White Rose, The";1923;100;650000;7.5;16
"Mad City";1997;115;50000000;6;3965
"Camp Pacific";2002;29;35000;9.1;21
"Bumer";2003;110;700000;6.5;264
"Hacks";2002;93;200000;8.1;56
"Zero";2000;20;0;8.1;24
"15 Minutes";2001;120;42000000;6.1;10866
"Centipede!";2004;90;500000;3.6;35
"Saratoga Trunk";1945;135;1750000;5.9;153
"Waking Ned";1998;92;3000000;7.3;7232
"Rockula";1990;87;1500000;4.5;89
"Other Side of Heaven, The";2001;113;7000000;6.5;683
"Private Life of Sherlock Holmes, The";1970;125;10000000;7.3;957
"Craig's Wife";1936;73;300000;7.8;54
"My Father's Son";2002;80;60000;8.4;9
"Night at the Roxbury, A";1998;81;17000000;5.1;5937
"Romeo Division, The";2004;25;6000;7.2;13
"Dangerous Money";1946;66;75000;6.2;88
"Phantom, The";1996;100;45000000;5;3329
"Cafe Society";1995;104;3500000;5.7;137
"Windtalkers";2002;153;115000000;5.9;9081
"Texas Rangers";2001;86;38000000;5.1;945
"Greenskeeper, The";2002;90;80000;4.7;38
"Shine";1996;105;5500000;7.6;12425
"Ace Ventura: Pet Detective";1994;86;12000000;6.2;20705
"Devil's Advocate, The";1997;144;57000000;7;26904
"Tora! Tora! Tora!";1970;144;25000000;7.4;3663
"Lord of the Rings: The Two Towers, The";2002;223;94000000;8.8;114797
"Do the Right Thing";1989;120;6500000;7.7;9324
"Merry Widow, The";1925;137;608016;7.6;91
"Adventures of Huck Finn, The";1993;108;6500000;5.9;1134
"Cyborg";1989;86;2000000;3.8;2320
"Greatest Story Ever Told, The";1965;225;20000000;6;1097
"Hush... Hush, Sweet Charlotte";1964;133;1900000;7.3;1293
"In the Mouth of Madness";1994;95;14000000;6.5;4835
"Cool as Ice";1991;100;6000000;2.4;1280
"Little Secrets";2001;97;2500000;6.9;457
"Lord of the Rings, The";1978;132;8000000;5.8;5734
"K-PAX";2001;120;48000000;7.2;17235
"Omen, The";1976;107;2800000;7.3;7895
"In Crowd, The";2000;104;15000000;4;1342
"Baby Blue";2001;119;2500000;6.4;98
"Rio Peligroso: A Day in the Life of a Legendary Coyote";2004;25;5000;8.8;9
"Cry-Baby";1990;85;11000000;6;4136
"Get Shorty";1995;105;30250000;7;14825
"Star Trek: The Wrath of Khan";1982;116;11000000;7.6;16333
"Out of Reach";2004;88;20000000;3.7;399
"Lara Croft: Tomb Raider";2001;100;80000000;5.2;21861
"Cell, The";2000;109;33000000;6.1;16118
"Sometimes They Come Back... Again";1996;98;3000000;2.9;630
"Nicholas Nickleby";2002;132;10000000;7.4;1651
"Life in Bed";2003;75;750000;8.3;6
"Land of College Prophets, The";2005;83;80000;6.5;25
"Kentucky Fried Movie, The";1977;90;600000;6.4;3756
"Tuxedo, The";2002;98;60000000;5.1;6070
"Redemption: The Stan Tookie Williams Story";2004;95;75000;6.5;350
"Changing Habits";1997;95;1200000;5.5;134
"Inside Daisy Clover";1965;128;4500000;6.1;340
"I Wanna Hold Your Hand";1978;104;2700000;6.7;530
"Ravenous";1999;108;12000000;6.7;5915
"Mystery Train";1989;113;2800000;7.2;2469
"Fish in a Barrel";2001;85;200000;5.5;59
"Saw";2004;100;1200000;7.5;17191
"Possums";1998;97;1400000;5.3;66
"Anger Management";2003;106;75000000;6;14280
"I Never";2003;22;40000;3.4;5
"Jimmy Neutron: Boy Genius";2001;84;25000000;6;2280
"Godfather, The";1972;175;6000000;9.1;122755
"Gangster Story";1960;65;75000;4.5;23
"November";2004;73;300000;2.8;164
"Juror, The";1996;118;44000000;5.3;2920
"Ghost";1990;128;22000000;6.8;19005
"Hardware Wars";1977;13;8000;7.2;572
"Explosion";1969;98;500000;4.9;5
"One of Five";2002;28;10000;7.5;8
"How High";2001;95;12000000;4.9;2916
"Day of Independence";2003;27;200000;2.8;11
"Draw the Pirate";2004;7;50000;8.5;5
"Losin' It";1983;100;7000000;4.5;645
"Fear and Desire";1953;68;20000;6.3;225
"Fast and the Furious, The";1954;73;66000;4.6;73
"Seven Years in Tibet";1997;139;70000000;6.6;9426
"Men in Black II";2002;88;140000000;5.6;21580
"Boys and Girls";2000;94;16000000;4.9;3483
"Lumpia";2003;80;1000;6;13
"Barbarians, The";1960;84;750000;4.5;18
"Dance Lexie Dance";1996;14;75000;4;15
"Three Smart Girls";1936;84;326000;7.1;107
"Adventure's End";1937;60;90000;3.3;16
"Sand Pebbles, The";1966;193;12000000;7.6;1773
"Bravo Two Zero";1999;115;6500000;6.5;578
"Papillon";1973;150;12000000;7.8;9553
"Good Morning, Vietnam";1987;119;13000000;7.1;13823
"Zimmer Feri";1998;97;500000;6.3;61
"Scaramouche";1923;101;858723;7.4;52
"Leather and Iron";2002;90;650000;5.5;6
"Peter Pan";1953;76;4000000;7.2;4891
"Marvin's Room";1996;98;23000000;6.5;4005
"Spawn";1997;98;40000000;4.6;7523
"Permanent Record";1988;91;8000000;6.1;360
"Auto Focus";2002;105;7000000;6.7;3276
"Spy Kids";2001;88;35000000;6.2;7400
"Sugar Town";1999;92;250000;5.8;307
"Dumbo";1941;64;950000;7.4;6828
"Junior";1985;80;350000;4.1;57
